MOS,short_file_name,condition_num,vote_1,vote_2,vote_3,vote_4,vote_5,vote_6,vote_7,vote_8,vote_9,vote_10,vote_11,vote_12,vote_13,vote_14,vote_15,vote_16,vote_17,vote_18,vote_19,vote_20,vote_21
2.1904761904761907,CH_m1_s4_c21_Hoth14dBSNR_AACq30_-21dBASL.48k.wav,21,3,1,3,2,2,1,2,2,1,2,3,2,2,4,3,4,2,1,3,1,2
3.761904761904762,CH_m2_s4_c08_16k-MIRSsend_16k-IRSrcv.48k.wav,8,3,4,5,4,2,3,4,4,4,4,4,4,3,3,5,4,4,4,4,2,5
3,CH_m1_s1_c29_GSM2L_acoustRcv.48k.wav,29,2,3,3,3,3,3,3,3,3,3,2,2,3,3,5,3,4,3,4,2,3
3.7142857142857144,CH_m2_s4_c13_AMR-WBmode0.48k.wav,13,5,3,4,3,4,4,5,4,4,4,4,1,3,3,5,5,3,5,3,3,3
4.857142857142857,CH_f2_s1_c01.48k.wav,1,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5
2.8095238095238093,CH_f2_s3_c30_GSM2L_elClipped_acoustRcv.48k.wav,30,3,3,4,3,3,2,3,2,2,3,2,2,3,3,4,4,3,3,3,1,3
2.9047619047619047,CH_m1_s4_c16_Babble16dBSNR_AMR-WBmode2.48k.wav,16,2,1,3,3,3,2,3,5,3,3,3,3,2,4,4,3,3,2,4,2,3
2.857142857142857,CH_m1_s2_c31_GSM2L_acoustRcv_-34dBASL.48k.wav,31,3,3,4,3,2,2,3,3,2,2,2,3,3,3,4,4,4,3,3,1,3
3.380952380952381,CH_m1_s4_c44_Skype_2xTor_-42dBASL.48k.wav,44,4,4,3,3,4,2,2,3,5,4,3,3,4,3,4,4,4,3,3,2,4
1.4761904761904763,CH_f2_s4_c04_MNRU10dBSNR.48k.wav,4,2,1,2,1,1,1,1,1,1,1,2,1,1,2,3,3,1,2,2,1,1
3,CH_m1_s1_c38_VideoCallLive_P920toN80.48k.wav,38,3,2,4,3,2,2,3,2,4,3,3,2,3,3,4,4,4,3,4,2,3
3.8095238095238093,CH_m1_s1_c45_Skype_2xTor_-34dBASL.48k.wav,45,4,4,4,4,4,3,4,3,4,4,4,3,4,4,5,4,4,3,4,3,4
1.619047619047619,CH_f2_s2_c27_WB_4xAACq25.48k.wav,27,2,1,2,2,1,1,1,2,1,1,1,1,2,1,3,4,2,2,2,1,1
2.4761904761904763,CH_m2_s2_c02_Hoth12dBSNR.48k.wav,2,2,1,3,2,2,2,2,3,3,2,4,3,2,4,3,3,2,2,3,1,3
3.1904761904761907,CH_f1_s2_c19_EVRC-B_OP0.48k.wav,19,3,2,4,4,3,3,4,3,3,3,2,2,3,4,3,4,4,4,4,2,3
4.208333333333333,CH_f2_s2_c10_100-5000HzBP.48k.wav,10,4,4,4,4,4,5,5,4,5,3,4,5,5,3,5,4,4,5,4,4,4
2.5,CH_m1_s1_c28_Babble16dBSNR_AMR-NBmode5_CEP-NR_AMR-NBmode5.48k.wav,28,3,1,4,3,1,2,3,2,2,2,3,2,3,2,3,1,2,3,3,5,1
3.25,CH_m2_s3_c33_HothNoise16dBSNR_EFRlive.48k.wav,33,4,3,3,4,3,4,4,3,2,2,4,3,4,3,4,3,3,2,3,5,2
3375,CH_m2_s3_c03_Babble20dBSNR.48k.wav,3,4,3,3,4,2,2,3,5,4,3,3,4,3,2,5,2,3,3,4,5,3
2625,CH_f2_s2_c31_GSM2L_acoustRcv_-34dBASL.48k.wav,31,3,2,2,2,2,2,3,3,2,1,4,3,4,2,3,3,2,2,3,5,2
3.3333333333333335,CH_f1_s2_c18_AMR-NB_mode5.48k.wav,18,3,3,3,3,3,4,4,3,3,2,4,3,4,2,4,4,3,4,4,5,3
3625,CH_f2_s2_c18_AMR-NB_mode5.48k.wav,18,4,4,3,3,3,4,4,3,4,3,5,3,4,3,5,3,4,3,4,5,3
2.6666666666666665,CH_f2_s1_c49_Babble16dBSNR_Skype_2xTor_-42dBASL.48k.wav,49,4,4,4,2,1,3,2,2,1,2,2,4,3,2,3,3,2,3,2,5,2
2.5833333333333335,CH_m1_s1_c15_Babble16dBSNR_AMR-WBmode0.48k.wav,15,3,3,2,3,1,2,3,3,3,2,2,3,3,2,3,2,3,2,2,5,2
3375,CH_m2_s4_c44_Skype_2xTor_-42dBASL.48k.wav,44,4,4,4,4,3,3,3,3,3,2,3,4,3,3,3,4,3,2,3,4,4
3,CH_f2_s1_c29_GSM2L_acoustRcv.48k.wav,29,4,2,2,3,2,3,3,3,3,2,3,3,4,3,3,3,3,3,3,5,3
3.5,CH_m1_s2_c39_VideoCallLive_N80toN80.48k.wav,39,5,3,4,4,3,3,4,3,3,2,4,4,4,2,5,3,3,3,4,5,3
3.1956521739130435,CH_f1_s1_c38_VideoCallLive_P920toN80.48k.wav,38,5,2,3,3,2,4,4,2,5,2,4,3,4,2,3,3,3,4,3,5,3
1.75,CH_f2_s4_c47_Babble16dBSNR_Skype_2xTor_-21dBASL.48k.wav,47,2,3,1,1,1,2,2,1,1,1,1,3,3,1,2,1,2,2,1,5,1
2625,CH_f2_s2_c42_VideoCallLive_P920toN80_-42dBASL.48k.wav,42,3,2,4,3,1,2,3,1,1,2,4,3,4,3,2,3,3,2,2,5,2
3.5833333333333335,CH_m1_s4_c08_16k-MIRSsend_16k-IRSrcv.48k.wav,8,1,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,5,2,4
2.6666666666666665,CH_m2_s1_c49_Babble16dBSNR_Skype_2xTor_-42dBASL.48k.wav,49,2,3,1,3,3,1,3,2,3,2,3,3,2,2,4,3,4,1,3,4,5
3.4583333333333335,CH_m1_s2_c19_EVRC-B_OP0.48k.wav,19,2,3,3,4,3,4,4,3,4,4,4,3,3,4,3,4,3,3,4,3,5
1.9583333333333333,CH_m1_s1_c24_HothNoise16dBSNR_noPhoneNS_AMR-NBlive_badChan.48k.wav,24,1,2,1,1,2,1,1,1,3,2,3,2,1,2,3,2,3,1,3,2,5
4375,CH_m1_s1_c11_2percFrameLoss.48k.wav,11,2,5,4,4,5,3,4,5,5,5,5,5,5,4,5,4,4,3,5,5,4
2.4565217391304346,CH_f1_s1_c15_Babble16dBSNR_AMR-WBmode0.48k.wav,15,1,3,2,3,2,2,1,1,2,4,3,3,2,2,4,2,3,2,4,3,5
2.5416666666666665,CH_f1_s4_c32_GSM2L_acoustRcv_-42dBASL.48k.wav,32,2,1,2,2,2,3,2,3,3,2,3,3,2,3,2,1,3,2,4,2,5
4.434782608695652,CH_f1_s1_c11_2percFrameLoss.48k.wav,11,2,4,4,5,4,3,5,4,5,5,5,5,5,5,5,3,3,4,5,4,4
4.166666666666667,CH_m1_s3_c14_AMR-WBmode2.48k.wav,14,2,4,3,4,4,5,4,3,4,4,5,4,5,5,4,5,3,4,5,5,5
4.083333333333333,CH_m1_s2_c10_100-5000HzBP.48k.wav,10,2,4,3,4,5,3,4,4,4,5,5,4,5,4,5,4,4,3,5,4,5
2625,CH_f2_s3_c33_HothNoise16dBSNR_EFRlive.48k.wav,33,1,2,3,4,4,2,1,2,3,3,3,3,3,2,2,2,3,2,3,3,4
3.4166666666666665,CH_m1_s2_c07_-46dBASL.48k.wav,7,3,4,4,2,3,4,3,4,4,2,4,4,1,4,4,1,3,3,5,5,5
3.5,CH_m2_s2_c18_AMR-NB_mode5.48k.wav,18,4,3,3,4,4,3,3,3,3,4,4,4,3,3,3,4,4,3,4,3,4
2.5833333333333335,CH_f1_s3_c48_Babble16dBSNR_Skype_1xTor_-34dBASL.48k.wav,48,2,2,3,3,2,2,2,2,2,2,2,4,3,4,5,2,2,2,4,3,2
1.5,CH_m1_s4_c04_MNRU10dBSNR.48k.wav,4,1,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,2,1,2,3,2
2.9166666666666665,CH_f1_s2_c42_VideoCallLive_P920toN80_-42dBASL.48k.wav,42,4,2,4,3,2,3,3,2,2,3,2,3,3,3,5,2,4,2,4,4,3
3.2916666666666665,CH_m2_s2_c34_AACq30_5percSimPktLoss.48k.wav,34,2,2,4,3,4,3,4,3,2,3,4,4,3,5,4,3,4,4,2,4,4
2.0416666666666665,CH_f2_s3_c12_20percFrameLoss.48k.wav,12,1,1,2,2,2,2,3,1,1,1,2,4,1,1,5,2,1,2,4,3,2
3625,CH_f2_s2_c19_EVRC-B_OP0.48k.wav,19,4,3,5,3,3,4,4,2,3,3,4,3,4,4,4,3,5,3,4,4,4
4.041666666666667,CH_m2_s1_c45_Skype_2xTor_-34dBASL.48k.wav,45,4,3,4,4,4,4,4,3,4,5,4,5,4,5,5,3,4,3,5,4,4
2.0416666666666665,CH_m2_s3_c12_20percFrameLoss.48k.wav,12,1,1,2,1,2,3,2,1,1,1,2,4,1,3,5,2,1,2,3,2,2
3.0833333333333335,CH_f1_s3_c03_Babble20dBSNR.48k.wav,3,3,2,3,3,2,3,3,2,4,2,3,4,3,3,5,3,3,3,4,4,3
3.75,CH_m1_s3_c43_Skype_2xTor.48k.wav,43,2,4,3,5,4,4,4,3,2,2,5,5,4,3,5,3,4,3,4,4,4
2.8333333333333335,CH_m1_s4_c09_500-2500HzBP.48k.wav,9,3,3,3,2,2,4,3,1,3,3,2,3,3,3,5,2,3,2,4,2,2
3.3333333333333335,CH_m1_s4_c13_AMR-WBmode0.48k.wav,13,3,3,3,3,3,3,4,3,4,3,4,4,2,3,4,3,4,2,4,4,3
4.208333333333333,CH_f2_s3_c20_EVRC-WB_OP3.48k.wav,20,4,4,5,5,4,4,5,3,4,3,4,4,5,5,4,4,5,3,4,5,4
3125,CH_m2_s2_c39_VideoCallLive_N80toN80.48k.wav,39,3,2,4,4,3,3,4,2,2,2,4,3,3,3,5,3,3,2,3,4,3
2.466666666666667,CH_f1_s1_c24_HothNoise16dBSNR_noPhoneNS_AMR-NBlive_badChan.48k.wav,24,3,3,1,2,2,4,3,1,2,2,3,3,2,5,3,3,4,3,2,2,2
3.608695652173913,CH_f1_s2_c22_AACq30_-36dBASL.48k.wav,22,4,4,4,2,5,3,4,4,2,4,5,3,3,5,4,4,1,4,3,3,5
3.391304347826087,CH_f1_s3_c25_ISDNtoN80_AMR-NB_badChan.48k.wav,25,3,3,3,3,4,4,5,3,2,3,3,3,3,5,4,3,4,3,3,3,3
2.4347826086956523,CH_f1_s4_c09_500-2500HzBP.48k.wav,9,2,3,1,2,3,2,3,2,2,3,2,3,2,4,2,3,3,3,2,2,2
1.826086956521739,CH_m1_s3_c12_20percFrameLoss.48k.wav,12,2,2,2,1,2,1,1,1,2,2,2,1,1,4,3,2,3,3,1,2,2
3.3043478260869565,CH_m1_s2_c18_AMR-NB_mode5.48k.wav,18,4,3,3,3,3,3,5,3,2,4,4,4,3,5,4,3,3,3,3,3,3
4.304347826086956,CH_m2_s2_c10_100-5000HzBP.48k.wav,10,5,5,4,4,5,5,4,3,4,4,4,5,4,4,4,5,3,5,4,4,5
4.130434782608695,CH_m2_s3_c43_Skype_2xTor.48k.wav,43,4,5,3,5,4,4,5,5,4,5,5,4,4,5,4,4,3,5,3,3,4
2.7777777777777777,CH_f1_s1_c17_Babble16dBSNR_AMR-WBmode2_-42dBASL.48k.wav,17,3,3,2,2,4,2,4,2,2,3,3,3,2,5,3,3,1,4,3,2,4
4.826086956521739,CH_m2_s1_c01.48k.wav,1,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,3,5,5,5,5
2.9565217391304346,CH_m2_s4_c47_Babble16dBSNR_Skype_2xTor_-21dBASL.48k.wav,47,3,4,1,4,3,4,3,2,2,2,3,4,1,4,3,2,4,4,3,3,4
3.4782608695652173,CH_m2_s2_c07_-46dBASL.48k.wav,7,4,2,2,2,5,2,4,5,3,3,5,3,4,5,4,5,1,3,4,4,5
3.5217391304347827,CH_m2_s1_c38_VideoCallLive_P920toN80.48k.wav,38,3,4,3,3,4,4,4,3,3,4,4,4,3,5,4,3,3,4,3,4,3
3.4347826086956523,CH_m1_s4_c41_VideoCallLive_P920toN80_-34dBASL.48k.wav,41,3,3,3,3,4,4,5,3,2,3,3,4,3,5,4,4,3,4,3,4,3
2.652173913043478,CH_m2_s4_c32_GSM2L_acoustRcv_-42dBASL.48k.wav,32,3,2,2,2,4,1,4,2,2,2,3,3,3,5,4,3,1,3,2,3,3
3.6818181818181817,CH_f2_s3_c43_Skype_2xTor.48k.wav,43,4,3,5,2,3,4,4,4,3,3,4,4,3,4,4,5,4,4,5,4,3
4.7272727272727275,CH_f1_s1_c01.48k.wav,1,4,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4
4.2727272727272725,CH_f2_s3_c06_-36dBASL.48k.wav,6,3,4,5,4,5,5,4,4,4,5,4,4,5,3,4,5,4,5,5,5,4
1.6363636363636365,CH_m2_s4_c04_MNRU10dBSNR.48k.wav,4,1,2,3,1,1,1,2,1,2,1,2,1,2,1,1,3,1,3,2,2,2
1.5,CH_m2_s1_c50_Hoth14dBSNR_clipped_AACq30.48k.wav,50,1,2,2,1,1,1,2,1,2,1,2,2,1,1,1,1,1,3,2,2,2
2.590909090909091,CH_m1_s4_c32_GSM2L_acoustRcv_-42dBASL.48k.wav,32,2,3,3,4,3,3,3,3,2,3,2,2,3,1,2,2,3,4,2,3,3
2.6818181818181817,CH_f2_s4_c44_Skype_2xTor_-42dBASL.48k.wav,44,3,2,4,2,4,3,2,3,3,1,2,3,4,2,2,3,4,3,2,2,3
1.7272727272727273,CH_m2_s2_c27_WB_4xAACq25.48k.wav,27,1,2,4,1,1,1,2,2,1,2,2,1,1,2,1,2,2,3,3,1,2
2.8636363636363638,CH_m2_s4_c37_HothNoise16dBSNR_EFRlive_badChan.48k.wav,37,3,3,3,1,3,2,3,3,3,3,3,3,3,3,2,3,4,3,4,3,3
2.3181818181818183,CH_m1_s4_c47_Babble16dBSNR_Skype_2xTor_-21dBASL.48k.wav,47,4,1,3,1,3,2,2,2,2,1,3,4,2,3,1,3,1,2,4,2,3
2.909090909090909,CH_f2_s3_c26_WB_AACq25.48k.wav,26,3,3,4,2,2,4,3,3,2,2,3,3,3,5,2,3,3,4,5,2,2
3.590909090909091,CH_f2_s2_c07_-46dBASL.48k.wav,7,3,5,5,4,5,4,3,3,4,4,3,2,4,2,3,3,5,4,3,4,3
3.090909090909091,CH_f1_s1_c45_Skype_2xTor_-34dBASL.48k.wav,45,3,2,4,2,3,4,3,4,3,2,3,4,3,3,2,3,4,4,4,3,3
2.727272727272727,CH_m2_s1_c15_Babble16dBSNR_AMR-WBmode0.48k.wav,15,3,2,3,3,3,2,2,2,3,2,3,3,3,3,2,3,3,3,4,3,3
1.5,CH_f1_s1_c50_Hoth14dBSNR_clipped_AACq30.48k.wav,50,2,1,2,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,2,1,3
2.5652173913043477,CH_m2_s4_c21_Hoth14dBSNR_AACq30_-21dBASL.48k.wav,21,3,3,1,4,3,3,2,3,2,2,3,2,3,2,3,3,2,1,2,2,2
3.9130434782608696,CH_m2_s3_c25_ISDNtoN80_AMR-NB_badChan.48k.wav,25,3,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,3,3,3
1.7391304347826086,CH_m1_s1_c50_Hoth14dBSNR_clipped_AACq30.48k.wav,50,1,1,2,2,3,3,1,1,2,1,2,1,2,1,3,2,1,1,1,2,2
2.652173913043478,CH_f1_s4_c44_Skype_2xTor_-42dBASL.48k.wav,44,3,2,3,4,4,4,1,2,3,2,3,1,2,2,3,2,3,2,1,4,3
4.260869565217392,CH_f1_s3_c14_AMR-WBmode2.48k.wav,14,5,5,4,4,5,4,5,5,4,4,5,5,4,2,5,4,3,4,4,4,4
2.391304347826087,CH_f1_s4_c47_Babble16dBSNR_Skype_2xTor_-21dBASL.48k.wav,47,3,1,2,3,3,3,2,4,2,2,2,1,2,1,4,2,2,1,3,3,2
2.782608695652174,CH_f1_s2_c02_Hoth12dBSNR.48k.wav,2,2,3,1,5,2,4,3,2,2,2,3,4,3,2,4,3,2,1,2,4,3
4.130434782608695,CH_f2_s1_c05_MNRU25dBSNR.48k.wav,5,5,5,3,5,5,4,4,5,4,5,5,4,4,3,5,3,3,4,4,4,3
3.276595744680851,CH_f1_s1_c35_EFRlive_badChan.48k.wav,35,3,4,4,3,4,3,3,5,4,3,4,3,4,2,4,4,3,4,3,3,3
3.4347826086956523,CH_f1_s4_c13_AMR-WBmode0.48k.wav,13,4,3,4,4,4,3,3,5,3,3,4,2,3,2,4,3,3,3,4,4,3
3.260869565217391,CH_f2_s3_c03_Babble20dBSNR.48k.wav,3,3,3,2,4,3,3,3,4,3,5,4,4,3,3,4,3,3,1,3,4,3
3.066666666666667,CH_f1_s1_c29_GSM2L_acoustRcv.48k.wav,29,3,2,3,4,4,4,3,3,3,3,3,3,3,2,4,4,3,3,2,3,2
2.652173913043478,CH_f2_s4_c37_HothNoise16dBSNR_EFRlive_badChan.48k.wav,37,2,3,4,3,3,3,2,3,3,2,3,2,2,1,4,2,3,2,2,3,2
3.0869565217391304,CH_m2_s2_c42_VideoCallLive_P920toN80_-42dBASL.48k.wav,42,3,3,3,4,4,3,3,2,4,3,3,3,3,3,4,3,4,3,1,3,3
3.347826086956522,CH_f1_s2_c39_VideoCallLive_N80toN80.48k.wav,39,4,4,3,3,4,3,3,4,4,3,3,4,3,2,4,4,3,3,3,3,3
2.6818181818181817,CH_m1_s3_c26_WB_AACq25.48k.wav,26,4,4,2,1,2,4,4,4,2,2,4,5,2,2,1,3,2,2,3,1,3
1.3181818181818181,CH_f1_s4_c04_MNRU10dBSNR.48k.wav,4,3,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1
3.6363636363636362,CH_m1_s1_c05_MNRU25dBSNR.48k.wav,5,5,3,4,2,3,4,2,5,4,3,3,5,5,5,2,4,2,4,5,2,3
2.090909090909091,CH_f2_s1_c35_EFRlive_badChan.48k.wav,35,3,2,1,1,2,2,3,2,3,3,1,3,2,1,2,3,2,2,2,1,3
3.6363636363636362,CH_f1_s4_c08_16k-MIRSsend_16k-IRSrcv.48k.wav,8,4,5,3,4,4,3,4,3,4,3,4,4,5,3,2,4,4,4,3,3,3
2.772727272727273,CH_m2_s4_c23_HothNoise16dBSNR_PhoneNS_N80toISDN_AMR-NB.48k.wav,23,3,3,1,2,3,2,4,3,3,3,1,4,3,3,2,4,3,3,2,2,3
4.454545454545454,CH_f1_s3_c06_-36dBASL.48k.wav,6,5,5,4,4,4,5,5,4,5,4,4,5,5,4,4,5,5,4,4,4,4
